experiment,alpha,target,mae,rmse,naive_mae,r2,sep21_0720_pred,sep21_0720_true,runtime_s,gain_mae,sep21_0720_abs_err
bounded_ridge_log_a100,100.0,log,0.3846237040277819,0.8597976229865573,0.24989794871794865,0.4657371798963601,0.7589469193422989,4.23,6.0707855224609375,-0.13472575530983324,3.4710530806577014
bounded_ridge_log_a10,10.0,log,0.43739679438996093,0.9140826569568128,0.24989794871794865,0.3961439662446945,0.6934116990226601,4.23,6.116604804992676,-0.18749884567201228,3.5365883009773404
bounded_ridge_log_a1,1.0,log,0.47758911226428846,0.9679203035663758,0.24989794871794865,0.3229173709814772,0.6671058737431702,4.23,6.08433198928833,-0.2276911635463398,3.5628941262568303
bounded_ridge_delta_a100,100.0,delta,0.4825624370685582,0.8434202503941512,0.24989794871794865,0.4858965476474484,0.7380857039175971,4.23,6.085975408554077,-0.23266448835060957,3.4919142960824034
bounded_ridge_log_a0.1,0.1,log,0.4965347034993928,1.008113339495559,0.24989794871794865,0.2655179359569624,0.6635252743822301,4.23,6.067960023880005,-0.24663675478144417,3.5664747256177702
bounded_ridge_log_a0.01,0.01,log,0.49977498545949955,1.0165653648591628,0.24989794871794865,0.25315050830125463,0.6631571116834422,4.23,6.067883729934692,-0.2498770367415509,3.5668428883165584
bounded_ridge_delta_a10,10.0,delta,0.5425858706122308,0.9274665198931078,0.24989794871794865,0.3783313679814643,0.7358032582215667,4.23,6.025173902511597,-0.29268792189428217,3.494196741778434
bounded_ridge_delta_a1,1.0,delta,0.5769732594940846,0.9843057284271948,0.24989794871794865,0.29979936997298906,0.7324291680152267,4.23,6.076869249343872,-0.32707531077613594,3.4975708319847736
bounded_ridge_delta_a0.1,0.1,delta,0.5901152593170627,1.0106973221868951,0.24989794871794865,0.2617478811665588,0.7317922443816518,4.23,6.051009654998779,-0.340217310599114,3.4982077556183486
bounded_ridge_delta_a0.01,0.01,delta,0.5913633838371173,1.013235152727848,0.24989794871794865,0.2580357688303522,0.7317219593316372,4.23,6.113598823547363,-0.3414654351191686,3.4982780406683633
