experiment,kind,target,mae,rmse,naive_mae,r2,sep21_0720_pred,sep21_0720_true,runtime_s,gain_mae,sep21_0720_abs_err
ridge_log,ridge,log,0.601833942400516,1.3460482724853016,0.24989794871794865,-0.3094343877883383,0.1658221332377488,4.23,6.088437795639038,-0.35193599368256734,4.064177866762251
ridge_delta,ridge,delta,0.7007853221306827,1.1974839495805079,0.24989794871794865,-0.03633907662865998,0.0,4.23,6.083486318588257,-0.450887373412734,4.23
ridge_level,ridge,level,0.7014019885400717,1.1960016307478167,0.24989794871794865,-0.033774976894258124,0.0,4.23,6.03641152381897,-0.45150403982212306,4.23
elastic_log,elastic,log,0.7285722027955713,2.1908395805095164,0.24989794871794865,-2.4688348912433318,0.1649846047514193,4.23,6.558786392211914,-0.47867425407762265,4.065015395248581
elastic_delta,elastic,delta,0.7435779457442417,1.2956355368412584,0.24989794871794865,-0.21318819226400643,0.0,4.23,6.599040269851685,-0.49367999702629306,4.23
elastic_level,elastic,level,0.7438438627666978,1.2950769250094878,0.24989794871794865,-0.21214228828249615,0.0,4.23,6.533864974975586,-0.4939459140487491,4.23
ridge_lowreg_delta,ridge_lowreg,delta,0.7647904160100196,1.3384317936137753,0.24989794871794865,-0.29465770681471937,0.0,4.23,6.063333034515381,-0.5148924672920709,4.23
ridge_lowreg_level,ridge_lowreg,level,0.7648527872109869,1.3381573372700535,0.24989794871794865,-0.2941268010324023,0.0,4.23,6.0974578857421875,-0.5149548384930382,4.23
huber_delta,huber,delta,0.7653260689667137,1.3458197291274454,0.24989794871794865,-0.30898977204558387,0.0,4.23,29.249987840652466,-0.515428120248765,4.23
ridge_lowreg_log,ridge_lowreg,log,0.8054566463636151,2.684558912267057,0.24989794871794865,-4.208448206775561,0.16296531772814227,4.23,6.061060667037964,-0.5555586976456665,4.067034682271858
ridge_asinh_delta,ridge,asinh_delta,1.0025139036784456,3.636489133949758,0.24989794871794865,-8.557120469417479,0.0,4.23,6.0647523403167725,-0.7526159549604969,4.23
elastic_asinh_delta,elastic,asinh_delta,1.7788484010222374,9.970113055375474,0.24989794871794865,-70.83939032443072,0.0,4.23,6.495593786239624,-1.5289504523042887,4.23
ridge_lowreg_asinh_delta,ridge_lowreg,asinh_delta,2.222531148623206,13.634544960429755,0.24989794871794865,-133.35188642959733,0.0,4.23,6.0573344230651855,-1.9726331999052575,4.23
