,importance
photo_temp_interaction,0.15149456
ph0,0.1251262
ET0_per_hour,0.10461536
temp_x_canopy,0.063735254
canopy,0.049748298
rad_integral,0.047218665
h3po4_total,0.042093158
rad_x_canopy,0.03982177
ec0,0.03869616
gap_hours,0.03496069
leaching_fraction,0.033621
rad_max,0.03324205
temp_range,0.033085313
hrs_since_fert,0.029941153
fert_conc,0.028897315
weighted_irr,0.026970055
transpiration_pull,0.02590474
canopy_et0,0.02196106
temp_trend,0.021851677
ph_drive,0.018887995
weighted_total_fert,0.016756415
hrs_since_irr,0.011371084
